"","year","id","prottemp","cathtemp"
"1",2004,4,50,50
"2",2004,7,5,85
"3",2004,9,50,50
"4",2004,14,60,60
"5",2004,21,100,0
"6",2004,24,5,5
"7",2004,25,50,60
"8",2004,28,40,60
"9",2004,29,50,50
"10",2004,31,50,50
"11",2004,33,50,50
"12",2004,37,50,50
"13",2004,40,50,65
"14",2004,41,40,50
"15",2004,42,50,85
"16",2004,45,70,60
"17",2004,50,75,50
"18",2004,56,50,100
"19",2004,64,75,50
"20",2004,67,85,85
"21",2004,68,75,100
"22",2004,76,60,50
"23",2004,77,50,30
"24",2004,81,80,80
"25",2004,82,25,100
"26",2004,86,50,50
"27",2004,88,60,70
"28",2004,91,90,90
"29",2004,101,50,50
"30",2004,104,50,50
"31",2004,107,50,50
"32",2004,119,65,65
"33",2004,123,50,50
"34",2004,124,85,100
"35",2004,127,85,85
"36",2004,128,85,85
"37",2004,132,50,50
"38",2004,134,50,50
"39",2004,137,50,50
"40",2004,141,50,100
"41",2004,150,85,100
"42",2004,153,40,40
"43",2004,158,50,60
"44",2004,162,85,85
"45",2004,164,85,30
"46",2004,170,50,85
"47",2004,172,50,50
"48",2004,173,50,85
"49",2004,179,70,30
"50",2004,180,70,50
"51",2004,186,60,60
"52",2004,187,70,85
"53",2004,188,80,30
"54",2004,190,85,60
"55",2004,192,100,50
"56",2004,195,50,50
"57",2004,196,50,50
"58",2004,200,50,70
"59",2004,201,50,60
"60",2004,213,80,75
"61",2004,215,50,50
"62",2004,219,85,85
"63",2004,224,50,50
"64",2004,226,85,100
"65",2004,228,85,85
"66",2004,231,70,30
"67",2004,232,50,50
"68",2004,247,60,85
"69",2004,249,50,15
"70",2004,254,75,50
"71",2004,257,60,20
"72",2004,265,100,100
"73",2004,272,70,50
"74",2004,275,50,85
"75",2004,279,80,40
"76",2004,282,50,50
"77",2004,283,50,50
"78",2004,286,60,100
"79",2004,288,85,100
"80",2004,293,100,50
"81",2004,295,85,100
"82",2004,298,60,85
"83",2004,303,50,50
"84",2004,304,85,70
"85",2004,308,85,85
"86",2004,310,60,40
"87",2004,311,50,40
"88",2004,318,100,50
"89",2004,319,90,20
"90",2004,321,50,70
"91",2004,329,50,50
"92",2004,332,50,70
"93",2004,334,50,50
"94",2004,341,50,50
"95",2004,343,50,40
"96",2004,347,80,90
"97",2004,351,100,70
"98",2004,352,50,50
"99",2004,357,0,50
"100",2004,362,50,50
"101",2004,367,85,85
"102",2004,368,50,60
"103",2004,371,100,100
"104",2004,379,50,50
"105",2004,380,50,50
"106",2004,383,50,40
"107",2004,395,55,60
"108",2004,400,50,40
"109",2004,404,60,85
"110",2004,405,50,40
"111",2004,406,70,60
"112",2004,408,50,50
"113",2004,415,60,60
"114",2004,426,50,50
"115",2004,428,100,100
"116",2004,429,70,85
"117",2004,437,85,85
"118",2004,444,50,15
"119",2004,452,50,20
"120",2004,454,50,99
"121",2004,455,30,85
"122",2004,458,50,60
"123",2004,459,100,85
"124",2004,464,90,90
"125",2004,473,50,50
"126",2004,482,50,50
"127",2004,484,50,50
"128",2004,496,100,85
"129",2004,498,50,70
"130",2004,500,50,50
"131",2004,503,75,50
"132",2004,507,50,0
"133",2004,508,50,50
"134",2004,518,100,50
"135",2004,520,100,50
"136",2004,521,80,40
"137",2004,524,100,80
"138",2004,527,50,100
"139",2004,529,95,100
"140",2004,532,100,100
"141",2004,533,50,50
"142",2004,536,50,50
"143",2004,538,75,80
"144",2004,541,85,70
"145",2004,543,50,40
"146",2004,547,50,50
"147",2004,549,85,60
"148",2004,550,90,40
"149",2004,553,85,85
"150",2004,557,50,50
"151",2004,558,70,50
"152",2004,565,40,15
"153",2004,573,50,50
"154",2004,574,50,50
"155",2004,575,75,100
"156",2004,581,50,50
"157",2004,585,50,50
"158",2004,586,85,100
"159",2004,588,50,100
"160",2004,592,85,50
"161",2004,596,80,80
"162",2004,597,70,100
"163",2004,600,50,60
"164",2004,602,85,85
"165",2004,605,100,60
"166",2004,606,95,80
"167",2004,607,70,60
"168",2004,609,100,85
"169",2004,612,70,70
"170",2004,613,60,60
"171",2004,616,100,50
"172",2004,621,60,60
"173",2004,622,60,95
"174",2004,623,50,50
"175",2004,626,50,70
"176",2004,628,70,70
"177",2004,632,70,70
"178",2004,634,50,50
"179",2004,641,85,65
"180",2004,644,60,30
"181",2004,647,50,50
"182",2004,650,50,70
"183",2004,657,95,95
"184",2004,665,100,100
"185",2004,667,90,100
"186",2004,668,60,50
"187",2004,671,50,30
"188",2004,674,80,75
"189",2004,677,50,30
"190",2004,680,80,80
"191",2004,695,50,50
"192",2004,696,50,50
"193",2004,697,50,55
"194",2004,702,85,60
"195",2004,711,50,50
"196",2004,712,100,100
"197",2004,720,75,50
"198",2004,721,75,50
"199",2004,722,25,2
"200",2004,725,70,100
"201",2004,728,30,50
"202",2004,731,100,100
"203",2004,732,60,60
"204",2004,737,50,100
"205",2004,738,30,40
"206",2004,739,100,70
"207",2004,740,50,50
"208",2004,745,85,85
"209",2004,747,60,60
"210",2004,752,50,100
"211",2004,753,80,50
"212",2004,765,50,50
"213",2004,766,70,70
"214",2004,772,85,60
"215",2004,774,50,50
"216",2004,775,100,100
"217",2004,778,50,50
"218",2004,782,50,50
"219",2004,785,100,100
"220",2004,787,100,85
"221",2004,791,50,30
"222",2004,793,50,40
"223",2004,796,50,50
"224",2004,804,70,50
"225",2004,809,100,100
"226",2004,810,78,78
"227",2004,815,100,100
"228",2004,817,70,70
"229",2004,819,85,60
"230",2004,822,50,50
"231",2004,826,70,70
"232",2004,827,50,50
"233",2004,833,100,85
"234",2004,834,85,40
"235",2004,837,50,50
"236",2004,839,85,60
"237",2004,840,60,60
"238",2004,845,50,50
"239",2004,853,70,100
"240",2004,861,100,85
"241",2004,866,50,50
"242",2004,867,50,50
"243",2004,879,60,60
"244",2004,880,50,60
"245",2004,882,100,100
"246",2004,883,50,50
"247",2004,890,50,50
"248",2004,894,10,20
"249",2004,896,50,60
"250",2004,901,50,100
"251",2004,903,60,60
"252",2004,907,100,100
"253",2004,908,85,50
"254",2004,910,50,50
"255",2004,913,50,70
"256",2004,917,70,70
"257",2004,918,100,75
"258",2004,922,50,50
"259",2004,924,50,50
"260",2004,926,50,85
"261",2004,929,100,100
"262",2004,931,50,50
"263",2004,935,50,50
"264",2004,937,70,70
"265",2004,938,50,85
"266",2004,946,30,70
"267",2004,951,80,70
"268",2004,953,5,10
"269",2004,956,70,70
"270",2004,959,50,50
"271",2004,960,85,65
"272",2004,963,40,40
"273",2004,964,80,80
"274",2004,969,50,50
"275",2004,971,70,100
"276",2004,972,70,85
"277",2004,973,50,50
"278",2004,977,85,85
"279",2004,979,50,50
"280",2004,980,50,50
"281",2004,984,50,75
"282",2004,989,80,80
"283",2004,990,50,40
"284",2004,993,50,50
"285",2004,996,50,30
"286",2004,1003,50,50
"287",2004,1004,50,50
"288",2004,1013,50,50
"289",2004,1019,80,65
"290",2004,1021,75,100
"291",2004,1022,50,50
"292",2004,1024,50,70
"293",2004,1025,70,30
"294",2004,1028,50,100
"295",2004,1030,30,60
"296",2004,1032,50,85
"297",2004,1040,2,5
"298",2004,1045,50,30
"299",2004,1047,85,85
"300",2004,1048,50,50
"301",2004,1051,70,70
"302",2004,1052,85,85
"303",2004,1053,60,60
"304",2004,1056,70,70
"305",2004,1057,100,100
"306",2004,1058,70,70
"307",2004,1059,85,85
"308",2004,1060,70,80
"309",2004,1064,60,100
"310",2004,1069,85,80
"311",2004,1071,90,90
"312",2004,1074,50,50
"313",2004,1075,70,60
"314",2004,1076,100,100
"315",2004,1078,50,40
"316",2004,1083,100,100
"317",2004,1085,85,100
"318",2004,1088,50,50
"319",2004,1090,60,50
"320",2004,1094,85,100
"321",2004,1096,50,50
"322",2004,1099,60,60
"323",2004,1102,70,70
"324",2004,1104,85,60
"325",2004,1105,100,100
"326",2004,1106,85,70
"327",2004,1112,50,50
"328",2004,1115,75,45
"329",2004,1126,70,85
"330",2004,1127,50,85
"331",2004,1128,50,70
"332",2004,1133,85,85
"333",2004,1135,50,85
"334",2004,1139,70,85
"335",2004,1140,50,100
"336",2004,1156,60,50
"337",2004,1157,85,85
"338",2004,1158,50,0
"339",2004,1159,85,85
"340",2004,1163,50,50
"341",2004,1166,50,85
"342",2004,1168,85,85
"343",2004,1170,85,85
"344",2004,1171,50,50
"345",2004,1175,50,50
"346",2004,1178,50,85
"347",2004,1179,40,60
"348",2004,1182,100,100
"349",2004,1186,50,50
"350",2004,1187,50,100
"351",2004,1190,60,60
"352",2004,1200,50,70
"353",2004,1203,70,50
"354",2004,1212,50,60
"355",2004,1213,75,75
"356",2004,1215,50,50
"357",2004,1216,50,50
"358",2004,1218,80,100
"359",2004,1219,75,25
"360",2004,1223,85,100
"361",2004,1226,50,100
"362",2004,1233,50,50
"363",2004,1242,100,70
"364",2004,1248,100,80
"365",2004,1250,85,40
"366",2004,1251,60,100
"367",2004,1254,50,50
"368",2004,1255,100,95
"369",2004,1263,85,85
"370",2004,1265,50,85
"371",2004,1266,85,85
"372",2004,1267,85,60
"373",2004,1269,100,100
"374",2004,1276,50,50
"375",2004,1284,80,100
"376",2004,1285,70,60
"377",2004,1287,75,75
"378",2004,1288,60,60
"379",2004,1290,50,50
"380",2004,1291,60,60
"381",2004,1295,100,70
"382",2004,1297,50,75
"383",2004,1298,85,70
"384",2004,1306,85,85
"385",2004,1309,100,70
"386",2004,1317,100,50
"387",2004,1320,100,50
"388",2004,1322,50,100
"389",2004,1330,100,100
"390",2004,1334,85,50
"391",2004,1335,85,60
"392",2004,1340,85,70
"393",2004,1357,100,70
"394",2004,1358,50,100
"395",2004,1360,70,70
"396",2004,1361,50,50
"397",2004,1366,100,20
"398",2004,1367,50,50
"399",2004,1369,70,70
"400",2004,1371,50,50
"401",2004,1372,50,50
"402",2004,1375,60,70
"403",2004,1376,100,100
"404",2004,1381,50,40
"405",2004,1384,50,100
"406",2004,1389,75,85
"407",2004,1393,70,40
"408",2004,1395,50,40
"409",2004,1400,50,85
"410",2004,1404,50,75
"411",2004,1411,50,85
"412",2004,1415,50,100
"413",2004,1419,30,50
"414",2004,1422,50,50
"415",2004,1426,50,70
"416",2004,1427,70,70
"417",2004,1435,50,100
"418",2004,1440,100,50
"419",2004,1447,75,75
"420",2004,1449,100,100
"421",2004,1450,85,85
"422",2004,1461,50,50
"423",2004,1462,85,85
"424",2004,1467,85,40
"425",2004,1472,50,50
"426",2004,1474,80,80
"427",2004,1482,50,60
"428",2004,1485,100,100
"429",2004,1488,70,50
"430",2004,1489,50,50
"431",2004,1490,70,70
"432",2004,1491,50,70
"433",2004,1497,40,40
"434",2004,1499,85,85
"435",2004,1501,100,70
"436",2004,1503,85,100
"437",2004,1504,85,85
"438",2004,1508,70,70
"439",2004,1512,50,70
"440",2004,1514,70,70
"441",2004,1515,85,85
"442",2004,1521,100,100
"443",2004,1522,50,50
"444",2004,1527,70,70
"445",2004,1532,50,70
"446",2004,1533,70,70
"447",2004,1535,50,70
"448",2004,1538,50,50
"449",2004,1544,85,75
"450",2004,1545,100,100
"451",2004,1549,60,70
"452",2004,1550,40,30
"453",2004,1556,80,80
"454",2004,1560,85,50
"455",2004,1563,70,70
"456",2004,1564,50,50
"457",2004,1570,70,100
"458",2004,1572,85,85
"459",2004,1577,50,60
"460",2004,1579,95,90
"461",2004,1580,50,85
"462",2004,1582,30,85
"463",2004,1584,85,85
"464",2004,1586,15,100
"465",2004,1593,50,50
"466",2004,1595,50,50
"467",2004,1598,100,50
"468",2004,1599,100,0
"469",2004,1603,50,50
"470",2004,1604,50,50
"471",2004,1615,25,100
"472",2004,1616,30,100
"473",2004,1620,75,75
"474",2004,1621,40,40
"475",2004,1624,70,70
"476",2004,1626,100,60
"477",2004,1629,80,85
"478",2004,1638,50,40
"479",2004,1643,50,50
"480",2004,1644,70,70
"481",2004,1646,50,0
"482",2004,1648,70,50
"483",2004,1649,100,100
"484",2004,1652,50,50
"485",2004,1655,70,100
"486",2004,1658,99,100
"487",2004,1662,50,60
"488",2004,1668,50,50
"489",2004,1669,50,100
"490",2004,1671,70,70
"491",2004,1677,85,70
"492",2004,1678,50,50
"493",2004,1679,50,50
"494",2004,1681,85,85
"495",2004,1683,70,100
"496",2004,1690,100,85
"497",2004,1692,50,50
"498",2004,1697,60,100
"499",2004,1699,70,70
"500",2004,1704,50,50
"501",2004,1709,100,100
"502",2004,1713,50,50
"503",2004,1715,50,60
"504",2004,1718,50,50
"505",2004,1720,85,70
"506",2004,1724,50,60
"507",2004,1729,60,70
"508",2004,1730,100,60
"509",2004,1732,50,60
"510",2004,1735,0,0
"511",2004,1736,40,60
"512",2004,1737,50,70
"513",2004,1738,50,100
"514",2004,1743,50,50
"515",2004,1744,100,40
"516",2004,1747,100,100
"517",2004,1749,70,70
"518",2004,1750,70,50
"519",2004,1755,50,50
"520",2004,1761,60,60
"521",2004,1768,70,70
"522",2004,1774,70,50
"523",2004,1776,100,85
"524",2004,1778,50,50
"525",2004,1779,100,100
"526",2004,1782,50,50
"527",2004,1786,50,0
"528",2004,1792,85,50
"529",2004,1794,100,50
"530",2004,1797,60,85
"531",2004,1802,50,60
"532",2004,1805,60,60
"533",2004,1810,60,60
"534",2004,1815,100,70
"535",2004,1816,50,50
"536",2004,1818,70,50
"537",2004,1819,70,50
"538",2004,1821,50,50
"539",2004,1828,50,50
"540",2004,1829,50,40
"541",2004,1836,50,50
"542",2004,1841,50,50
"543",2004,1842,85,30
"544",2004,1853,50,85
"545",2004,1854,85,85
"546",2004,1858,85,70
"547",2004,1862,100,70
"548",2004,1863,70,70
"549",2004,1866,85,85
"550",2004,1867,10,10
"551",2004,1870,85,80
"552",2004,1872,70,85
"553",2004,1876,70,50
"554",2004,1885,60,40
"555",2004,1888,100,100
"556",2004,1889,50,50
"557",2004,1891,50,40
"558",2004,1893,100,100
"559",2004,1895,70,70
"560",2004,1900,100,70
"561",2004,1907,50,50
"562",2004,1915,85,70
"563",2004,1916,60,60
"564",2004,1917,70,70
"565",2004,1918,15,15
"566",2004,1919,30,30
"567",2004,1920,70,40
"568",2004,1922,95,75
"569",2004,1924,70,70
"570",2004,1935,50,60
"571",2004,1939,100,100
"572",2004,1941,50,50
"573",2004,1943,70,70
"574",2004,1948,100,70
"575",2004,1951,75,75
"576",2004,1953,60,50
"577",2004,1954,50,40
"578",2004,1963,50,50
"579",2004,1964,85,100
"580",2004,1966,70,70
"581",2004,1977,85,100
"582",2004,1980,85,70
"583",2004,1981,100,60
"584",2004,1984,50,40
"585",2004,1993,70,100
"586",2004,1995,100,100
"587",2004,2002,0,0
"588",2004,2006,75,75
"589",2004,2007,50,40
"590",2004,2010,100,100
"591",2004,2011,100,85
"592",2004,2014,100,70
"593",2004,2016,85,85
"594",2004,2017,50,50
"595",2004,2023,100,100
"596",2004,2035,75,75
"597",2004,2038,85,85
"598",2004,2039,85,85
"599",2004,2043,40,40
"600",2004,2044,85,70
"601",2004,2049,85,85
"602",2004,2055,50,50
"603",2004,2062,100,85
"604",2004,2064,60,60
"605",2004,2065,50,50
"606",2004,2067,75,75
"607",2004,2068,90,90
"608",2004,2070,70,50
"609",2004,2071,75,75
"610",2004,2074,50,85
"611",2004,2076,100,100
"612",2004,2078,50,40
"613",2004,2085,70,60
"614",2004,2091,100,100
"615",2004,2093,50,50
"616",2004,2094,70,70
"617",2004,2097,50,100
"618",2004,2099,85,60
"619",2004,2110,1,1
"620",2004,2112,1,50
"621",2004,2121,85,85
"622",2004,2128,50,50
"623",2004,2129,7,7
"624",2004,2131,100,100
"625",2004,2132,85,70
"626",2004,2133,55,44
"627",2004,2134,70,70
"628",2004,2136,20,50
"629",2004,2143,50,50
"630",2004,2145,70,70
"631",2004,2153,50,50
"632",2004,2155,50,50
"633",2004,2156,50,50
"634",2004,2157,70,40
"635",2004,2160,50,50
"636",2004,2165,50,50
"637",2004,2166,70,70
"638",2004,2167,50,60
"639",2004,2170,40,40
"640",2004,2176,100,100
"641",2004,2177,50,50
"642",2004,2178,50,50
"643",2004,2180,50,50
"644",2004,2187,50,30
"645",2004,2192,50,50
"646",2004,2196,60,40
"647",2004,2198,50,50
"648",2004,2201,50,50
"649",2004,2206,100,100
"650",2004,2207,60,50
"651",2004,2214,85,85
"652",2004,2215,60,60
"653",2004,2216,40,0
"654",2004,2221,50,50
"655",2004,2230,70,50
"656",2004,2234,50,0
"657",2004,2235,70,60
"658",2004,2244,75,75
"659",2004,2245,100,70
"660",2004,2246,50,70
"661",2004,2247,50,60
"662",2004,2249,70,70
"663",2004,2250,50,50
"664",2004,2253,50,100
"665",2004,2255,50,70
"666",2004,2258,50,50
"667",2004,2262,50,100
"668",2004,2264,100,100
"669",2004,2274,80,50
"670",2004,2281,70,70
"671",2004,2282,100,70
"672",2004,2289,60,25
"673",2004,2293,50,60
"674",2004,2294,100,50
"675",2004,2304,50,30
"676",2004,2305,70,30
"677",2004,2309,50,25
"678",2004,2311,50,25
"679",2004,2315,50,85
"680",2004,2317,85,70
"681",2004,2318,85,50
"682",2004,2321,70,60
"683",2004,2322,50,70
"684",2004,2324,85,50
"685",2004,2325,100,100
"686",2004,2337,100,50
"687",2004,2347,50,50
"688",2004,2353,50,50
"689",2004,2354,100,50
"690",2004,2357,100,50
"691",2004,2358,50,50
"692",2004,2363,80,70
"693",2004,2366,85,40
"694",2004,2367,100,70
"695",2004,2370,50,35
"696",2004,2373,100,10
"697",2004,2377,50,50
"698",2004,2381,25,25
"699",2004,2383,75,75
"700",2004,2388,50,50
"701",2004,2389,1,1
"702",2004,2390,25,25
"703",2004,2395,75,75
"704",2004,2396,75,50
"705",2004,2399,1,1
"706",2004,2404,45,45
"707",2004,2405,5,5
"708",2004,2406,50,50
"709",2004,2408,80,70
"710",2004,2411,60,60
"711",2004,2419,50,50
"712",2004,2420,85,60
"713",2004,2422,100,50
"714",2004,2428,50,50
"715",2004,2429,90,60
"716",2004,2430,100,50
"717",2004,2436,50,10
"718",2004,2440,100,50
"719",2004,2446,100,50
"720",2004,2447,100,50
"721",2004,2448,70,15
"722",2004,2464,70,70
"723",2004,2465,50,50
"724",2004,2469,50,70
"725",2004,2471,100,30
"726",2004,2472,50,100
"727",2004,2474,50,25
"728",2004,2476,30,50
"729",2004,2482,70,70
"730",2004,2484,50,50
"731",2004,2488,100,50
"732",2004,2489,50,50
"733",2004,2495,60,50
"734",2004,2496,50,50
"735",2004,2502,50,50
"736",2004,2504,50,75
"737",2004,2507,100,50
"738",2004,2508,60,85
"739",2004,2514,50,50
"740",2004,2519,50,50
"741",2004,2525,100,85
"742",2004,2526,50,50
"743",2004,2527,50,50
"744",2004,2534,50,50
"745",2004,2546,50,50
"746",2004,2550,50,50
"747",2004,2554,85,85
"748",2004,2562,50,60
"749",2004,2573,100,100
"750",2004,2580,85,15
"751",2004,2586,50,50
"752",2004,2591,100,40
"753",2004,2592,85,70
"754",2004,2595,100,100
"755",2004,2596,85,85
"756",2004,2599,95,80
"757",2004,2602,85,15
"758",2004,2603,50,40
"759",2004,2617,70,50
"760",2004,2618,85,85
"761",2004,2619,85,85
"762",2004,2622,90,90
"763",2004,2626,90,80
"764",2004,2630,5,50
"765",2004,2631,50,50
"766",2004,2638,50,40
"767",2004,2643,100,100
"768",2004,2648,15,0
"769",2004,2649,50,50
"770",2004,2650,90,30
"771",2004,2651,20,100
"772",2004,2657,50,50
"773",2004,2658,50,90
"774",2004,2661,50,85
"775",2004,2663,50,90
"776",2004,2670,100,100
"777",2004,2672,60,60
"778",2004,2674,85,85
"779",2004,2677,50,25
"780",2004,2679,50,50
"781",2004,2680,50,50
"782",2004,2688,50,50
"783",2004,2690,100,60
"784",2004,2694,50,85
"785",2004,2697,85,70
"786",2004,2700,70,70
"787",2004,2701,70,70
"788",2004,2707,100,100
"789",2004,2719,85,50
"790",2004,2721,50,50
"791",2004,2731,100,100
"792",2004,2759,40,60
"793",2004,2760,60,0
"794",2004,2768,90,90
"795",2004,2775,45,25
"796",2004,2790,50,50
"797",2004,2796,70,70
"798",2004,2800,50,40
"799",2004,2803,80,50
"800",2004,2805,50,50
"801",2004,2806,100,100
"802",2004,2808,50,40
